frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
137,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,11333.334,sound-0,en,transition,both sound instances removed by parent,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-137.png,2115a9fa0c6d271da80d527e386004f004365dc69e4de4cfcf88bf0304c06818,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Source-exact removal boundary Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
142,req:sprite-21:sound-0:en,sprite-21,trace:sprite-21:sound-0:en:seed-0,3e754f7ac4b93f74fab35694723f3aa289a781b0f59a87b24f893d2e39d8d7d8,11750.001,sound-0,en,terminal,source terminal stop with no sound instances placed,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-en/frame-142.png,7fa81a632663988bd2a17e08715937072f122788c43b3da0e1e3fcbebcb11282,,,,,,audit/trace-specs/req-sprite-21-sound-0-en.json,,"Replay semantics remain unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,0.001,sound-0,es,teaching,source-shared untranslated visual with embedded English title and naturally observed Mc_Sound_0,untouched-original-runtime-reload,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"Historical Spanish host routing and audio language unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,333.334,sound-0,es,transition,unchanged source visual and exact gotoAndPlay child-frame-2 request,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-005.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"No Spanish translation or audio claim Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,416.668,sound-0,es,teaching,unchanged source visual with selected child tick phase unresolved,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"Do not infer child frame or translation Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
136,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,11250.001,sound-0,es,teaching,last parent frame with both sound instances placed and unchanged source visual,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-136.png,9ebecceab0ef1438dff5dc0c34d3c179ad37762e572a41b4d5b2b0e137cbda17,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"Audio synchronization unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
137,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,11333.334,sound-0,es,transition,both sound instances removed and source visual unchanged,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-137.png,2115a9fa0c6d271da80d527e386004f004365dc69e4de4cfcf88bf0304c06818,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"Source-exact removal boundary Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
142,req:sprite-21:sound-0:es,sprite-21,trace:sprite-21:sound-0:es:seed-0,8b29c5201b211f1008419ad2923bfe87f7fe88e1c43bd5401666e99bf3978d7f,11750.001,sound-0,es,terminal,source terminal stop with source-shared untranslated visual,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-0-es/frame-142.png,7fa81a632663988bd2a17e08715937072f122788c43b3da0e1e3fcbebcb11282,,,,,,audit/trace-specs/req-sprite-21-sound-0-es.json,,"Replay and historical Spanish host semantics unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,0.001,sound-1,en,teaching,source drawing with naturally observed Mc_Sound_1 stopped at child frame 1,untouched-original-runtime-reload,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Natural source outcome and authoritative lossless baseline pending Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,333.334,sound-1,en,transition,exact gotoAndPlay child-frame-2 request and one-frame audio-start request,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-005.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Byte-exact stream restored in the modern sound-1 branch; authoritative listening and synchronization remain pending. Deterministic current JavaScript visual capture recorded; no original-runtime baseline, RMSE, audio acceptance, human-review, owner-review, or strict-completion claim is added. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,416.668,sound-1,en,teaching,source visual with selected child tick phase unresolved,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Do not infer child frame from parent frame Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
136,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,11250.001,sound-1,en,teaching,last parent frame with both sound instances placed,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-136.png,9ebecceab0ef1438dff5dc0c34d3c179ad37762e572a41b4d5b2b0e137cbda17,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Child tick phase and audio synchronization unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
137,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,11333.334,sound-1,en,transition,both sound instances removed by parent,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-137.png,2115a9fa0c6d271da80d527e386004f004365dc69e4de4cfcf88bf0304c06818,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Source-exact removal boundary Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
142,req:sprite-21:sound-1:en,sprite-21,trace:sprite-21:sound-1:en:seed-0,f196a0e0fcea831fd164e800245a8d003aae02759c3f8219a4066f691cfd2b94,11750.001,sound-1,en,terminal,source terminal stop with no sound instances placed,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-en/frame-142.png,7fa81a632663988bd2a17e08715937072f122788c43b3da0e1e3fcbebcb11282,,,,,,audit/trace-specs/req-sprite-21-sound-1-en.json,,"Replay semantics remain unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,0.001,sound-1,es,teaching,source-shared untranslated visual with embedded English title and naturally observed Mc_Sound_1,untouched-original-runtime-reload,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-001.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"Historical Spanish host routing and audio language unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,333.334,sound-1,es,transition,unchanged source visual and exact gotoAndPlay child-frame-2 request,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-005.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"No Spanish translation or audio claim Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,416.668,sound-1,es,teaching,unchanged source visual with selected child tick phase unresolved,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-006.png,87207dc5a2e5c96e9d09c01729b642d7e0f3ad836426aedc66fd86f5266b2f0d,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"Do not infer child frame or translation Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
136,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,11250.001,sound-1,es,teaching,last parent frame with both sound instances placed and unchanged source visual,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-136.png,9ebecceab0ef1438dff5dc0c34d3c179ad37762e572a41b4d5b2b0e137cbda17,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"Audio synchronization unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
137,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,11333.334,sound-1,es,transition,both sound instances removed and source visual unchanged,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-137.png,2115a9fa0c6d271da80d527e386004f004365dc69e4de4cfcf88bf0304c06818,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"Source-exact removal boundary Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
142,req:sprite-21:sound-1:es,sprite-21,trace:sprite-21:sound-1:es:seed-0,eac73d02f9b82ae3f84484b3d4d8127b01e5bc505a9846e14014f330f2eea83e,11750.001,sound-1,es,terminal,source terminal stop with source-shared untranslated visual,source timeline progression,,,output/playwright/schema-v4-queue/course-g03-l06-ti-001/req-sprite-21-sound-1-es/frame-142.png,7fa81a632663988bd2a17e08715937072f122788c43b3da0e1e3fcbebcb11282,,,,,,audit/trace-specs/req-sprite-21-sound-1-es.json,,"Replay and historical Spanish host semantics unresolved Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
